c_last_name,c_first_name,ca_city,bought_city,ss_ticket_number,amt,profit
Aaron,Amanda,Crossroads,Antioch,5860166,303.54,-7362.43
Aaron,Anthony,Woodlawn,Plainview,6490646,2722.59,-3593.43
Aaron,Billy,Mount Zion,Glendale,19980003,18.29,-1764.70
Aaron,Carolina,Union,Clifton,19167925,1285.06,-10134.65
Aaron,Charles,Ashland,Greenfield,248727,495.93,-5171.19
Aaron,Charlie,Lincoln,Summit,12006766,5131.79,-7816.53
Aaron,Cody,Martinsville,Highland Park,7978982,904.90,-13993.99
Aaron,Cynthia,Cedar Grove,Hamilton,4608532,1617.37,-17798.36
Aaron,Darlene,Mount Pleasant,Lakeview,23246042,1282.07,-8807.43
Aaron,David,White Oak,Concord,15702345,3624.87,-11977.55
Aaron,Edward,Woodland,Spring Valley,7291402,0.00,-12907.20
Aaron,Ernest,Woodbury,Shiloh,2344062,4731.93,-8570.55
Aaron,Gabriel,Texas,Lebanon,23954811,0.00,-10023.18
Aaron,Gabriela,Bayside,Riverdale,11685114,241.10,-11527.68
Aaron,Georgia,Fairfield,Kingston,22523348,4225.54,-4509.09
Aaron,Heather,Waterloo,Summit,2313816,545.87,-14534.23
Aaron,Henry,Waterloo,Springfield,8879307,8992.61,-9855.84
Aaron,John,Lebanon,Oneida,18871474,4042.25,-3025.05
Aaron,John,Stringtown,Walnut Grove,7213282,885.34,-11671.69
Aaron,Joseph,Jackson,Red Hill,2710409,831.13,-8575.43
Aaron,Josphine,Glendale,Macedonia,14110908,3935.18,-10913.10
Aaron,Joy,Edgewood,Arlington,17622330,6533.63,-19968.76
Aaron,Joy,Edgewood,Woodlawn,13714125,3031.85,-14855.06
Aaron,Judith,Shady Grove,Five Points,11798998,12661.74,-16351.21
Aaron,Judy,Highland,Liberty,19411093,7985.41,-13016.46
Aaron,Laurie,Denmark,Perryville,15115482,1142.20,-9742.00
Aaron,Margaret,Oak Ridge,Mount Zion,13181559,4459.08,-19376.63
Aaron,Mario,Riverdale,Springfield,18787380,463.54,-6460.96
