c_last_name,c_first_name,ca_city,bought_city,ss_ticket_number,extended_price,extended_tax,list_price
Aaron,Larry,Jenkins,Lakeside,3082040,25890.47,1140.50,39150.72
Aaron,Florence,Liberty,Springhill,4865251,21948.79,700.41,35901.76
Aaron,Margaret,Oakwood,Brownsville,7555487,11342.65,324.30,31135.89
Aaron,Edward,Woodland,Shiloh,13547300,23288.37,823.11,39046.10
Aaron,Margaret,Oak Ridge,Vienna,22170694,20775.89,936.61,39891.31
Abbott,Keith,Farmington,Barnes,505006,25042.56,1005.36,52999.55
Abbott,James,Oneida,Cedar Grove,4772090,12843.72,549.54,30041.88
Abbott,Michael,Spring Hill,Springdale,16487077,26105.12,882.22,45373.16
Abbott,Malcolm,Florence,Mountain View,18776261,13841.22,371.06,31726.08
Abel,James,Brentwood,Belmont,1552763,31233.85,1533.41,55728.03
Abel,Michael,Florence,Rossville,12384506,35492.54,2188.20,47620.26
Abel,Amie,Oak Hill,Valley View,13484682,26939.60,980.36,43877.47
Abell,Velma,Woodlawn,Fairfield,1575207,21550.36,725.10,45791.19
Abell,Katherine,Mount Vernon,Salem,21952807,20692.50,845.26,37033.48
Abernathy,Anne,Greenfield,Clifton,3597909,14805.71,202.31,22047.68
Abernathy,Lawrence,Oakwood,Lebanon,8199574,28086.57,1171.77,32875.95
Abner,Denis,Mount Olive,Pleasant Valley,7960618,19029.48,1047.08,43651.97
Abney,Carlo,Arlington,Mount Vernon,16921125,14185.87,1048.55,34415.96
Abrams,Larry,Shiloh,Jackson,5337333,26315.51,1087.16,52589.60
Abrams,Barbara,Sunnyside,Newport,13021023,7663.91,373.49,20909.81
Abrams,Paul,Lakeview,Buckingham,23393989,17970.81,972.27,46036.45
Abreu,Darryl,Union Hill,Sunnyside,8126698,33193.15,876.01,55846.04
Abreu,Reinaldo,Friendship,Bridgeport,8576107,18667.56,475.09,41224.40
Abreu,Dianne,Newtown,Enterprise,22422245,19678.31,1018.21,28346.59
Acevedo,Samuel,Woodland,Greenwood,4449699,24335.69,769.26,39505.41
Acevedo,Clinton,Valley View,Hillcrest,9355255,21423.45,535.08,54594.73
Acevedo,Bradley,Liberty,Woodlawn,22630161,25279.56,1106.92,62262.95
Acevedo,Joseph,Clifton,Pine Grove,23711938,22687.73,799.25,45040.23
Acker,Micheal,Brownsville,Greenwood,9072414,19769.94,1094.50,38997.96
Ackerman,Donald,Oak Ridge,Springdale,6465303,37673.89,1646.15,53391.36
Ackerman,Pamela,Dixie,Hillcrest,17810369,13092.48,293.43,17233.28
Ackerman,Julia,Lakeview,Glendale,18408842,16370.79,1115.47,45850.86
Ackerman,Raymond,Ashland,Walnut Grove,19522459,31622.90,1178.91,56571.04
Acosta,Patrick,Mount Vernon,Oakdale,2478346,19186.64,643.51,33724.33
Acosta,Josephine,Rutland,Mount Pleasant,2797302,13377.07,649.04,29143.08
Acosta,Peter,Pine Grove,Crossroads,4785592,11506.02,425.55,38046.46
Acosta,Eva,Riverside,Farmington,7277137,7362.96,186.49,29996.75
Acosta,Jimmy,Union,Franklin,11256931,18893.20,787.91,28783.37
Acosta,Mildred,Lakewood,Valley View,17608485,32079.71,1625.56,86072.04
Acuna,Jorge,Friendship,Highland,2827096,17724.61,221.77,44387.16
Acuna,Jeanette,Macedonia,Newport,8255763,8110.24,140.15,24636.10
Adair,James,Shady Grove,Hopewell,20359204,38845.47,1624.61,57637.82
Adam,Nicola,Wildwood,Lincoln,3972874,36552.23,392.61,54336.01
Adam,Heather,Arlington,Five Points,18455740,39934.90,1534.51,59032.16
Adame,Valeria,Bridgeport,Centerville,9085512,24575.83,895.46,56529.87
Adame,Bruce,Wilson,Springfield,13041955,17276.91,978.72,33017.70
Adams,Greg,Mountain View,Ashland,554,11073.32,317.19,23650.55
Adams,Lawrence,Kingston,Springfield,9510,16723.34,441.03,49994.48
Adams,Juan,Mount Zion,Lakewood,683727,28340.72,1735.11,60497.71
Adams,Michael,Clinton,Antioch,897160,14593.31,710.80,28277.30
Adams,William,Highland Park,Golden,1104433,23839.37,963.15,44698.16
Adams,Michael,Deerfield,Spring Valley,1138536,17918.58,753.53,33564.23
Adams,Nikki,Shiloh,Glenwood,1175956,18632.43,585.58,37721.48
Adams,Peggy,Georgetown,Mount Zion,1687842,24794.29,908.10,43532.02
Adams,Ashley,Concord,Five Points,1996702,20135.67,1136.46,42874.51
Adams,John,Pleasant Valley,Franklin,2368587,13164.09,481.28,23975.29
Adams,,Spring Hill,Walnut Grove,2442477,12929.02,729.00,25631.01
Adams,John,Red Hill,Green Acres,2445063,19661.59,863.66,52356.05
Adams,Janice,Lakeside,Bethel,4026267,16623.71,439.70,24808.06
Adams,,New Hope,Oakwood,4149983,19388.03,911.70,34309.96
Adams,Latonya,Price,Liberty,4752685,35209.89,1952.22,51302.31
Adams,Joanne,Oak Hill,Springfield,5128007,25723.21,1378.34,41660.60
Adams,Anthony,Argyle,Deerfield,6228075,20246.12,858.62,59741.17
Adams,Antoinette,Jerome,Waterloo,8105160,22413.53,944.34,53296.25
Adams,Kathleen,Highland Park,Harmony,8269140,13297.56,601.71,22475.29
Adams,Donovan,Lebanon,Union,8319235,27545.51,1368.28,57842.82
Adams,Terry,Valley View,Marion,10854934,20169.84,649.45,61389.25
Adams,,Oak Hill,Woodlawn,10969787,22017.54,731.79,33575.60
Adams,Carolyn,Glendale,Lakewood,11477506,43313.79,1918.92,80249.36
Adams,Rebecca,Georgetown,Bunker Hill,11562311,20335.28,1050.77,46159.82
Adams,Brian,Red Hill,Lakewood,11888224,35971.56,1764.70,61648.60
Adams,Constance,Oak Grove,Waterloo,12483189,9911.17,525.24,16764.49
Adams,Edward,Sugar Hill,Oak Grove,12815575,32051.02,1132.88,83127.06
Adams,Natalia,Pleasant Valley,Mount Pleasant,13639956,15599.56,813.82,38093.46
Adams,Amanda,Salem,Green Acres,13786447,13209.78,928.02,21007.15
Adams,Robert,Glenwood,Belmont,14528809,18158.00,526.16,40502.68
Adams,Christian,Nottingham,Sunnyside,14575766,16477.22,699.67,24013.38
Adams,Sophie,Oak Ridge,Price,15128540,17941.74,621.57,35876.53
Adams,Reynaldo,Fairview,Clifton,15388140,31108.33,1663.32,46273.80
Adams,Patrick,Farmington,Highland,15796136,19406.87,670.89,30386.29
Adams,Richelle,Liberty,Georgetown,15861856,16806.50,502.84,45164.06
Adams,Richard,Bridgeport,Bethel,15958966,18161.82,1151.96,37567.64
Adams,Robert,Kingston,Fairview,17407300,15253.87,493.91,31901.36
Adams,John,Riverdale,Pleasant Grove,18051203,29490.47,1283.78,42510.02
Adams,Rhonda,Pleasant Valley,Macedonia,20622680,27805.54,1183.80,51843.90
Adams,Dorothy,Buena Vista,Highland,20929875,20931.32,713.32,45055.12
Adams,Michelle,Oakwood,Waterloo,21025271,28349.72,1435.66,64998.81
Adams,Alfred,Sunnyside,Macedonia,22641682,25336.94,1175.34,54803.34
Adams,Sherri,Woodland,Collinsville,23238963,18177.68,629.20,42589.52
Adams,Candice,Greenville,Taft,23909710,33183.63,930.57,65911.96
Adamson,Carl,Woodland,Hopewell,3070835,26471.75,512.28,55840.84
Adcock,Beverly,Springdale,Wayland,20551908,28335.30,1588.67,71765.99
Addison,Helen,Stringtown,Woodland,7983749,9127.60,410.15,19645.81
Addison,Rachel,Oak Grove,Five Forks,8868626,16893.01,849.98,48685.16
Adkins,Cedric,Bunker Hill,Oak Hill,1831607,6986.69,338.88,15873.77
Adkins,Ralph,Lakeside,Lebanon,3225717,14951.52,293.96,29206.29
Adkins,Jessica,Oneida,Fairview,4493788,39714.81,954.46,55717.71
Adkins,Eugenia,Lebanon,Pleasant Valley,6803981,32809.60,1652.67,55221.47
Adkins,Joanne,Pleasant Grove,Franklin,7607709,10666.71,650.88,30106.59
Adkins,Eugenia,Lebanon,Highland Park,11515753,25643.53,1406.69,43485.12
