c_last_name,c_first_name,c_salutation,c_preferred_cust_flag,ss_ticket_number,cnt
Aguilar,Concepcion,Ms.,Y,658867,5
Alexander,Mason,Dr.,Y,23165628,5
Anderson,William,Sir,N,7571026,5
Arnold,Alfred,Dr.,N,531329,5
Austin,Louis,Dr.,Y,23586647,5
Baker,Vicki,Dr.,N,13162847,5
Battaglia,Elizabeth,Ms.,Y,20486590,5
Beck,George,Mr.,N,15100344,5
Bradford,Brian,Sir,Y,4301595,5
Bradshaw,Rosa,Miss,Y,2657194,5
Bridges,Linda,Ms.,Y,13578330,5
Brito,Kevin,Dr.,Y,16576130,5
Bunn,Nannie,Miss,Y,15356053,5
Clark,Dorothy,Dr.,N,166798,5
Cochran,Kenneth,Mr.,N,10684574,5
Collins,Byron,Mr.,Y,12819474,5
Combs,Donald,Mr.,Y,17622253,5
Copeland,Bonnie,Miss,N,21403019,5
Coppola,Rosemary,Miss,N,12367084,5
Covey,James,Dr.,N,20638505,5
Crawford,Gloria,Miss,Y,13765615,5
Davenport,Theodore,Mr.,Y,10554594,5
Davis,Bernice,Ms.,N,16303685,5
Devore,Kimberley,Miss,Y,23667252,5
Dubois,Marcos,,Y,9768745,5
Ellison,Janet,Miss,Y,4655074,5
Evans,George,Mr.,N,15784543,5
Ferrer,Andrea,Ms.,Y,17497260,5
Flores,Clarence,Dr.,N,12212633,5
Forman,Barbra,Dr.,Y,10166286,5
Frantz,Wava,Mrs.,N,10622328,5
Galarza,Hattie,Mrs.,Y,12227870,5
Galloway,Wendy,Miss,N,464525,5
Garcia,Heriberto,,Y,11996650,5
Gilchrist,Charla,Mrs.,Y,4772836,5
Gillette,Wilma,Dr.,N,3555826,5
Gilson,Jeffery,Mr.,N,22226391,5
Grant,Cathy,Dr.,N,2346002,5
Gray,Michael,Mr.,N,18364928,5
Grimm,Ben,Dr.,N,23053171,5
Guy,Cherly,Miss,N,20683174,5
Hall,Rebecca,Dr.,N,4045305,5
Harris,Tim,Sir,N,8276378,5
Henry,Alex,Miss,N,22551308,5
Henry,Joseph,Dr.,Y,6368172,5
Herzog,Donna,Mrs.,N,23250272,5
Hill,Nola,Mrs.,N,9485854,5
Hodgson,Jeffry,Dr.,Y,19566146,5
Howard,Evan,Dr.,N,22454919,5
Hoy,Joseph,Sir,Y,9135815,5
Hubbard,Heather,Miss,N,23850347,5
Huggins,Virgil,Mr.,Y,1671152,5
Hull,Charles,Sir,N,18418677,5
Hurt,Thomas,Sir,N,23334102,5
Jenkins,Roger,Sir,Y,14010119,5
Johnson,Benjamin,Mr.,Y,13986600,5
Johnson,Robert,Sir,Y,1529298,5
Johnson,Catherine,Mrs.,N,14358315,5
Johnson,Hector,Sir,Y,21992844,5
Jones,Paula,Dr.,Y,20517593,5
Jordan,Ayanna,Mrs.,N,20393363,5
Jordan,Esther,Ms.,Y,5251179,5
Joseph,Bambi,Mrs.,Y,9610913,5
Keeton,Cheri,Mrs.,N,8700583,5
Kennedy,Barbara,Miss,N,7033850,5
Kinder,Renae,Miss,N,3453644,5
Knight,Penny,Ms.,N,18972769,5
Knowles,Mitchell,Mr.,N,12277622,5
Koehler,Raul,Mr.,Y,86396,5
Lamar,Keith,Mr.,Y,7521318,5
Larson,Larry,Mr.,Y,16976270,5
Lee,Denise,Ms.,N,15192823,5
Lee,Viola,Dr.,N,3923874,5
Lewis,Chi,Dr.,N,21611470,5
Lewis,,Miss,,19155202,5
Lindsey,James,Mr.,N,8321510,5
Lopez,Martin,Sir,N,1955767,5
Manuel,Veronica,Mrs.,Y,8998926,5
Martin,Janice,Miss,N,18692403,5
Martin,John,Sir,Y,956484,5
Mcconnell,Frank,Dr.,N,15774167,5
Mcghee,Mark,Sir,Y,1528215,5
Melendez,John,Sir,N,18007277,5
Miller,Mitchel,Mr.,Y,18690931,5
Mills,Herman,Mr.,N,1826866,5
Mitchell,Erika,Miss,N,11528167,5
Mora,Susan,Dr.,Y,9517684,5
Moreland,Gary,Sir,Y,21359004,5
Morris,Michael,Sir,N,12536133,5
Moser,Jerry,Sir,N,23455615,5
Norris,Olga,Dr.,N,19756721,5
Padgett,Jana,Miss,Y,10643711,5
Palmer,Janice,Mrs.,N,10028040,5
Parnell,Tamela,Dr.,Y,16066877,5
Patterson,Paula,Dr.,Y,18703438,5
Peterson,Glenda,Ms.,Y,3577432,5
Powers,Jennifer,Miss,N,13064216,5
Pruett,Penny,Miss,N,11952017,5
Rangel,Grace,Dr.,Y,21305304,5
Rice,Franklyn,Sir,N,11660228,5
Riddle,Justin,Sir,Y,13745509,5
Riley,William,Dr.,Y,11345205,5
Rivera,Johnny,Sir,N,19179201,5
Robins,Debra,Dr.,N,22369221,5
Robinson,Stanley,Mr.,N,18570999,5
Rodriguez,Sharon,Mrs.,N,797169,5
Rosales,Richard,Sir,N,339489,5
