c_last_name,c_first_name,sales
null,null,15307.67
null,Allen,63205.18
null,Douglas,18426.58
null,Isaac,59984.48
null,Judy,64759.48
Acosta,Willie,52862.45
Adamson,Bobby,27429.23
Anderson,Eric,37112.39
Anderson,Frederick,42144.43
Anderson,Jason,64926.48
Anderson,Marshall,33124.29
Anderson,Marshall,56679.20
Anderson,Nichole,62507.73
Anderson,Tiffany,62934.34
Bailey,Linda,34411.82
Bailey,Paul,24903.56
Baker,Mildred,82822.08
Barber,Oscar,66564.32
Barbour,Phil,31962.00
Barnes,Robert,12796.51
Barton,Linda,23912.59
Baum,Michael,44719.26
Beaudry,John,50029.60
Bell,Roy,29133.35
Brannon,Dante,18805.19
Branson,Dennis,53103.91
Brennan,Rose,52159.16
Brewer,Ruby,80310.19
Brinson,Marjory,86737.22
Brock,Irene,102224.84
Brookins,Wayne,54578.70
Brown,Hilda,18289.73
Brown,Katherine,31765.79
Bryant,Huong,28661.32
Bryant,Kathy,117739.84
Butler,Edward,36638.01
Cady,Christine,59785.28
Calloway,William,49814.65
Campbell,Robert,58470.12
Carter,Richard,22012.40
Carter,Sharon,64691.95
Clark,Melinda,31849.02
Cobb,Christopher,61442.50
Contreras,Edward,80477.09
Crews,Janice,17345.32
Davis,Fernando,24954.65
Denton,Bonnie,60942.70
Diaz,Amanda,100028.40
Elliott,Kimberly,36012.04
English,Gregory,16882.00
Fajardo,Shelley,72056.04
Floyd,Eugene,15921.71
Foley,Barbara,60404.18
Fox,Catherine,57111.77
Gallagher,Brent,19008.88
Garcia,Ricky,25644.06
Gardner,Charlie,65495.83
Gee,Sherri,25629.09
Grant,Catherine,43545.08
Green,Doug,48185.13
Green,Doug,84660.82
Green,Lawrence,50757.60
Greenberg,Tamara,41456.30
Haas,Denise,50086.90
Haley,Cindy,45940.57
Hardy,Earlene,23542.87
Harrington,Cynthia,50567.88
Harris,Debra,74301.00
Harrison,Nguyet,26457.99
Hartley,Katherine,32224.67
Harvey,Shelia,42593.97
Hendrix,Nicole,50566.38
Holder,Virginia,47675.97
Hooker,Jeffrey,27033.80
Horner,Patrick,16328.10
Howard,Jimmy,74602.93
Jeffries,John,96516.68
Jennings,Patrick,89875.29
Johnson,Kyle,47385.44
Johnson,Lloyd,50286.85
Jones,Judith,57723.12
Kennedy,Irene,12188.44
Kenney,Leslie,127557.91
King,Harvey,60689.45
King,Kenneth,102097.06
Kitchens,John,54595.72
Knight,Charles,30725.65
Knowles,Dorothy,59325.68
Knowles,Joshua,30440.74
Lawson,Anthony,62830.07
Lemon,Richard,23209.59
Lessard,Graciela,39197.02
Mason,John,19450.29
Maxwell,Sharon,71610.25
Mcmillan,Joshua,43534.34
Meade,Christina,33722.20
Meade,Christina,54083.61
Medina,Gladys,40595.94
Mendez,Randy,44310.33
Miller,David,53440.39
