c_last_name,c_first_name,s_store_name,paid
null,null,anti,122.88
Baker,Felicia,eing,95.79
Barden,Walter,cally,787.39
Brown,Constance,eing,1287.60
Cheney,James,eing,653.52
Clark,Ricky,ese,333.76
Denman,Arthur,ese,75.11
Dietz,Melvin,eing,489.06
Duran,Dorothy,cally,54.60
Fielder,Linda,bar,265.50
George,Catherine,able,9.18
Greer,Gordon,cally,16.17
Johnson,Rachel,eing,168.84
Keller,Elizabeth,n st,30.42
Ketchum,Heather,ese,736.56
Prescott,Rebecca,ation,3515.60
Walter,William,able,-36.96
Wilkes,Virginia,eing,-3.78
