c_last_name,c_first_name,c_salutation,c_preferred_cust_flag,ss_ticket_number,cnt
null,null,null,Y,128799,15
null,null,null,Y,523246,16
null,null,null,Y,671476,16
null,null,null,Y,722428,15
null,null,null,Y,1505645,15
null,null,null,Y,1663287,15
null,null,null,Y,2620486,15
null,null,null,Y,2704913,15
null,null,null,Y,3270450,15
null,null,null,Y,3858610,16
null,null,null,Y,4449348,15
null,null,null,Y,4487126,15
null,null,null,Y,4733004,15
null,null,null,Y,4743701,16
null,null,null,Y,5254726,16
null,null,null,Y,5279517,15
null,null,null,Y,5287116,15
null,null,null,Y,5295237,16
null,null,null,Y,5970279,15
null,null,null,Y,6252332,15
null,null,null,Y,6406411,16
null,null,null,Y,7180112,15
null,null,null,Y,7805766,16
null,null,null,Y,8773313,15
null,null,null,Y,9215163,15
null,null,null,Y,9917721,16
null,null,null,Y,10469340,15
null,null,null,Y,10484719,16
null,null,null,Y,10716489,16
null,null,null,Y,10825676,15
null,null,null,Y,11010469,15
null,null,null,Y,12050561,16
null,null,null,Y,12057396,15
null,null,null,Y,12165926,15
null,null,null,Y,12541446,15
null,null,null,Y,13344797,15
null,null,null,Y,14717474,15
null,null,null,Y,14862046,16
null,null,null,Y,15012498,16
null,null,null,Y,15882088,16
null,null,null,Y,16081252,15
null,null,null,Y,16139203,15
null,null,null,Y,16352988,16
null,null,null,Y,16399158,15
null,null,null,Y,16697667,15
null,null,null,Y,16805061,15
null,null,null,Y,17287568,15
null,null,null,Y,18027978,15
null,null,null,Y,18090243,15
null,null,null,Y,18320445,15
null,null,null,Y,19343869,15
null,null,null,Y,19753670,16
null,null,null,Y,20252452,15
null,null,null,Y,20578971,16
null,null,null,Y,20723665,16
null,null,null,Y,20943445,15
null,null,null,Y,21270777,16
null,null,null,Y,21657807,15
null,null,null,Y,21996551,16
null,null,null,Y,22237714,15
null,null,null,Y,22326850,15
null,null,null,Y,22846295,15
null,null,null,Y,23644580,16
null,null,null,Y,23726577,16
null,null,null,N,144348,16
null,null,null,N,1251687,15
null,null,null,N,1395940,15
null,null,null,N,1422920,15
null,null,null,N,1457910,15
null,null,null,N,1483232,15
null,null,null,N,1614854,15
null,null,null,N,1837617,15
null,null,null,N,1842895,16
null,null,null,N,2097421,16
null,null,null,N,2239472,16
null,null,null,N,2242822,15
null,null,null,N,2263777,16
null,null,null,N,2393444,15
null,null,null,N,2421159,15
null,null,null,N,2492609,15
null,null,null,N,2930049,16
null,null,null,N,3074940,15
null,null,null,N,3351808,16
null,null,null,N,3398577,15
null,null,null,N,3500674,15
null,null,null,N,4376068,16
null,null,null,N,4455775,16
null,null,null,N,4960199,15
null,null,null,N,5052402,15
null,null,null,N,5198678,15
null,null,null,N,5498878,15
null,null,null,N,6294284,16
null,null,null,N,6468863,15
null,null,null,N,6504472,15
null,null,null,N,6536906,16
null,null,null,N,7713218,15
null,null,null,N,8188301,16
null,null,null,N,8232339,15
null,null,null,N,8525458,16
null,null,null,N,8678799,15
null,null,null,N,9278416,15
null,null,null,N,9471890,16
null,null,null,N,9480635,16
null,null,null,N,10073990,16
null,null,null,N,10503632,15
null,null,null,N,10626968,15
null,null,null,N,11422924,15
null,null,null,N,11714328,15
null,null,null,N,12012468,15
null,null,null,N,12089443,15
null,null,null,N,12159046,15
null,null,null,N,12207111,15
null,null,null,N,12354231,16
null,null,null,N,12397889,16
null,null,null,N,13414346,15
null,null,null,N,14074669,15
null,null,null,N,14187235,16
null,null,null,N,14270700,16
null,null,null,N,14355441,15
null,null,null,N,14744296,15
null,null,null,N,15524320,15
null,null,null,N,15617814,15
null,null,null,N,15918748,15
null,null,null,N,16392545,16
null,null,null,N,17266865,15
null,null,null,N,17416907,16
null,null,null,N,17442158,15
null,null,null,N,17712457,16
null,null,null,N,17778512,15
null,null,null,N,18040344,16
null,null,null,N,18115741,16
null,null,null,N,18458178,16
null,null,null,N,18525035,15
null,null,null,N,18572432,15
null,null,null,N,18651407,15
null,null,null,N,18859324,16
null,null,null,N,18907178,15
null,null,null,N,18975464,15
null,null,null,N,18989525,15
null,null,null,N,19499439,15
null,null,null,N,20220837,15
null,null,null,N,20328987,15
null,null,null,N,20524162,16
null,null,null,N,20546675,15
null,null,null,N,20922824,16
null,null,null,N,21000505,15
null,null,null,N,21259710,16
null,null,null,N,22418634,16
null,null,null,N,22466372,15
null,null,null,N,22726845,15
null,null,null,N,22976304,15
null,null,null,N,22993556,15
null,null,null,N,23205074,15
null,null,null,N,23252890,16
null,null,null,N,23910221,15
null,null,null,null,41310,15
null,null,null,null,209636,15
null,null,null,null,517242,15
null,null,null,null,603303,15
null,null,null,null,749972,15
null,null,null,null,804691,16
null,null,null,null,902162,16
null,null,null,null,947469,15
null,null,null,null,953433,15
null,null,null,null,997456,15
null,null,null,null,1060029,15
null,null,null,null,1063444,16
null,null,null,null,1300507,15
null,null,null,null,1474587,15
null,null,null,null,1521952,15
null,null,null,null,1902842,15
null,null,null,null,2310117,15
null,null,null,null,2387930,15
null,null,null,null,2449612,15
null,null,null,null,2515614,15
null,null,null,null,2701937,16
null,null,null,null,3013369,15
null,null,null,null,3314485,15
null,null,null,null,3557949,15
null,null,null,null,3607469,15
null,null,null,null,3747925,15
null,null,null,null,3847270,15
null,null,null,null,3979481,15
null,null,null,null,4108688,15
null,null,null,null,4228502,15
null,null,null,null,4263935,15
null,null,null,null,4324092,15
null,null,null,null,4385519,15
null,null,null,null,4564114,15
null,null,null,null,4595097,16
null,null,null,null,4768834,15
null,null,null,null,4787937,15
null,null,null,null,4907690,16
null,null,null,null,5133044,15
null,null,null,null,5341278,16
null,null,null,null,5344689,15
null,null,null,null,5472269,15
null,null,null,null,5656889,15
null,null,null,null,5876596,15
null,null,null,null,5893947,15
null,null,null,null,6023634,16
null,null,null,null,6035102,15
null,null,null,null,6065879,15
null,null,null,null,6227381,16
null,null,null,null,6276020,15
null,null,null,null,6405440,15
null,null,null,null,6485209,15
null,null,null,null,6860267,15
null,null,null,null,6953351,15
null,null,null,null,7257179,16
null,null,null,null,7313639,15
null,null,null,null,7578500,15
null,null,null,null,7797108,15
null,null,null,null,7989098,15
null,null,null,null,8019367,15
null,null,null,null,8083179,16
null,null,null,null,8093196,15
null,null,null,null,8212788,16
null,null,null,null,8294940,16
null,null,null,null,8357024,15
null,null,null,null,8394525,15
null,null,null,null,8505897,16
null,null,null,null,8518994,16
null,null,null,null,8560635,15
null,null,null,null,8842414,15
null,null,null,null,9196188,15
null,null,null,null,9316511,16
null,null,null,null,9346197,15
null,null,null,null,9420256,15
null,null,null,null,9450030,15
null,null,null,null,9464436,16
null,null,null,null,9653055,16
null,null,null,null,9664698,15
null,null,null,null,9732073,15
null,null,null,null,9838628,16
null,null,null,null,10094679,15
null,null,null,null,10174245,15
null,null,null,null,10266293,16
null,null,null,null,10274224,15
null,null,null,null,10288373,16
null,null,null,null,10783292,15
null,null,null,null,10929594,16
null,null,null,null,11043416,15
null,null,null,null,11496848,16
null,null,null,null,11563567,15
null,null,null,null,11649839,15
null,null,null,null,11675542,15
null,null,null,null,11677627,16
null,null,null,null,11718871,16
null,null,null,null,11840633,16
null,null,null,null,12059507,15
null,null,null,null,12083043,15
null,null,null,null,12305631,15
null,null,null,null,12498300,16
null,null,null,null,12528837,15
null,null,null,null,12563999,15
null,null,null,null,12670657,15
null,null,null,null,13388743,16
null,null,null,null,13565981,16
null,null,null,null,13624918,15
null,null,null,null,13671919,16
null,null,null,null,13719145,15
null,null,null,null,13811502,15
null,null,null,null,13835012,15
null,null,null,null,13861283,15
null,null,null,null,13930205,15
null,null,null,null,13975640,16
null,null,null,null,14281828,15
null,null,null,null,14307512,15
null,null,null,null,14307989,15
null,null,null,null,14398817,16
null,null,null,null,14458861,15
null,null,null,null,14580505,15
null,null,null,null,14588022,16
null,null,null,null,14674088,15
null,null,null,null,14767659,15
null,null,null,null,14858772,15
null,null,null,null,14904850,15
null,null,null,null,14997783,15
null,null,null,null,15055004,15
null,null,null,null,15353735,15
null,null,null,null,15653481,15
null,null,null,null,15816653,15
null,null,null,null,15925667,15
null,null,null,null,15959089,15
null,null,null,null,16162968,16
null,null,null,null,16247284,16
null,null,null,null,16345113,16
null,null,null,null,16574401,15
null,null,null,null,16784867,15
null,null,null,null,17105733,15
null,null,null,null,17157527,15
null,null,null,null,17437916,15
null,null,null,null,17515284,15
null,null,null,null,17667737,15
null,null,null,null,17909694,15
null,null,null,null,17969883,15
