c_last_name,c_first_name,ca_city,bought_city,ss_ticket_number,amt,profit
null,null,Aberdeen,Springdale,13333673,4081.04,-12970.18
null,null,Aberdeen,Vance,4784632,69.94,-4493.48
null,null,Aberdeen,White Oak,11666766,2259.19,-6729.09
null,null,Acme,Bridgeport,3884790,990.21,-8563.23
null,null,Acme,Lenox,2090543,1585.49,-6420.12
null,null,Acme,Mount Vernon,3432461,1023.84,-10141.63
null,null,Adams,Sawyer,15495045,42.43,-3407.15
null,null,Adrian,Eureka,9482297,241.27,-3626.37
null,null,Adrian,Shady Grove,16409199,1197.93,-24282.35
null,null,Allentown,Antioch,16265971,11578.27,-30137.43
null,null,Allentown,Franklin,23148300,77.97,-5178.02
null,null,Allentown,Green Acres,1916971,5545.03,-9560.11
null,null,Allentown,Highland,2931375,714.31,-7548.23
null,null,Allentown,Lebanon,5101897,0.00,-3763.38
null,null,Allentown,Macedonia,12467649,3659.00,-18319.57
null,null,Allison,Bridgeport,1563683,0.00,-726.58
null,null,Allison,Brunswick,19253184,787.88,-7018.69
null,null,Allison,Oak Ridge,19558366,7146.68,-9769.99
null,null,Allison,Springhill,3739394,2927.81,-4916.84
null,null,Allison,Woodville,8437137,192.53,-14227.35
null,null,Alpha,Mountain View,19005080,5312.21,-6451.30
null,null,Altamont,Harmony,14772141,106.28,-1578.36
null,null,Altamont,Lakeview,19200625,5268.05,-9094.14
null,null,Amherst,Concord,3621006,11302.31,-8271.02
null,null,Amherst,Floyd,13770449,1135.22,-13433.17
null,null,Amherst,Georgetown,11587912,0.00,-7498.71
null,null,Amherst,Scottsville,13111723,4374.59,-16536.39
null,null,Amherst,Woodlawn,1652313,563.41,-5966.87
null,null,Amity,Antioch,11117159,5164.32,-12212.08
null,null,Amity,Newport,6284077,2437.45,-10915.77
null,null,Amity,Oakwood,9661893,1999.62,-13669.65
null,null,Amity,Salem,3225788,114.75,-7159.55
null,null,Andover,Granite,16868099,2555.07,-6394.20
null,null,Andover,Lakeview,14706943,1527.32,-2351.95
null,null,Andover,Liberty,20443866,6077.97,-21197.77
null,null,Andover,Scottsville,20483534,1816.29,-12527.53
null,null,Antioch,Aberdeen,17024264,3581.79,-9440.67
null,null,Antioch,Ashland,17062250,1483.61,-9816.87
null,null,Antioch,Buena Vista,15195550,2207.12,-21420.88
null,null,Antioch,Carter,11300379,4472.64,-8804.91
null,null,Antioch,Cedar Grove,5677612,31.02,-17648.59
null,null,Antioch,Cedar Grove,16370412,1007.44,-2008.51
null,null,Antioch,Clinton,17318345,71.34,-5321.43
null,null,Antioch,Deerfield,7919504,0.00,-10052.26
null,null,Antioch,Fairview,7256054,1022.55,-9138.62
null,null,Antioch,Fairview,16551376,12281.96,-15061.10
null,null,Antioch,Five Points,12455748,226.54,2022.61
null,null,Antioch,Florence,4651639,368.61,-14940.04
null,null,Antioch,Franklin,19810898,1210.71,-5405.31
null,null,Antioch,Glendale,3790662,979.25,-8967.86
null,null,Antioch,Glendale,18863139,391.45,-2411.23
null,null,Antioch,Greenwood,175646,628.61,2299.58
null,null,Antioch,Hamilton,14189217,3942.18,-9786.65
null,null,Antioch,Hamilton,16683151,1443.08,-548.21
null,null,Antioch,Hamilton,22089756,2239.65,-885.11
