c_last_name,c_first_name,ca_city,bought_city,ss_ticket_number,extended_price,extended_tax,list_price
null,null,Cedar Grove,Belmont,31190,13820.61,894.62,30351.86
null,null,Edgewood,Wildwood,67283,12502.01,867.86,34965.26
null,Ted,Lakewood,Green Acres,78101,15559.05,870.09,25352.52
null,Meredith,Forest Hills,Edgewood,111820,37744.85,1141.13,77727.85
null,Herman,Sulphur Springs,Lincoln,147126,21148.87,952.51,36553.85
null,null,Deerfield,Riverview,329844,29000.84,1447.84,61731.16
null,William,Pine Grove,Five Points,350188,8171.88,370.80,16225.58
null,Corey,Dallas,Providence,364141,25082.11,1432.08,40676.35
null,Lisa,Red Hill,Plainview,388575,18476.40,490.25,60459.47
null,Lisa,Riverdale,Parkwood,390308,38475.39,2126.08,67064.29
null,null,Shiloh,Harmony,424541,17191.21,687.11,32113.54
null,null,Red Hill,Wildwood,463272,26582.76,1108.41,47769.80
null,null,Riverdale,Oakwood,465192,28623.97,1063.01,51348.23
null,Lynette,Shady Grove,Hillcrest,577528,27444.09,724.53,51760.09
null,null,Wilson,Jackson,578944,21594.98,1226.00,38873.16
null,Ted,Five Points,Fowler,701166,18218.99,670.99,22521.07
null,Carmela,Marion,Valley View,744222,25300.32,1432.00,42570.98
null,Lillian,Oakwood,Pleasant Hill,752691,35646.93,1949.26,58372.00
null,Kevin,Valley View,Red Hill,832460,19539.31,863.47,39831.30
null,Ebony,Maple Grove,Buena Vista,838383,9884.06,500.02,20323.91
null,Alicia,Mount Zion,Woodlawn,883982,28451.29,1301.88,56914.92
null,Charles,Riverside,Union,920164,17308.38,790.66,32577.30
null,null,Clifton,Florence,928041,23082.91,1239.40,54975.09
null,null,Highland,Deerfield,1005524,6879.86,338.26,11953.27
null,null,Union City,Glenville,1141458,22610.26,1393.89,40170.84
null,null,Clifton,Deerfield,1240328,8125.53,276.02,32834.68
null,null,Hillcrest,Waterloo,1281302,15717.86,624.83,31879.32
null,null,Springfield,Hillcrest,1307952,23396.70,612.11,47260.22
null,null,Newport,Deerfield,1344104,12827.50,301.58,17971.67
null,null,Bunker Hill,Deerfield,1422286,5146.69,187.57,18552.10
null,null,Greenfield,Summit,1447879,12894.24,348.14,32452.64
null,null,White Oak,Concord,1619715,25265.91,1123.60,45424.83
null,null,Oak Ridge,Riverview,1743622,27031.44,1647.21,66078.69
null,Thomas,Riverside,Valley View,1838932,20968.02,863.68,34190.17
